Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,206.649994,213.649994,203.149994,212.699997,202.153091,65227495
2020-12-11,214.449997,217.949997,213.350006,216.300003,205.574585,60322445
2020-12-14,217.949997,218.600006,215.000000,215.899994,205.194412,26990063
2020-12-15,215.250000,216.399994,211.600006,213.550003,202.960953,23255609
2020-12-16,213.750000,215.550003,213.500000,214.000000,203.388626,19551630
2020-12-17,214.199997,215.100006,211.250000,213.050003,202.485748,22386185
2020-12-18,213.100006,215.949997,209.750000,214.500000,203.863846,23775053
2020-12-21,214.500000,214.699997,199.149994,202.949997,192.886551,41834797
2020-12-22,203.100006,206.250000,196.899994,203.399994,193.314240,40986353
2020-12-23,203.000000,208.250000,202.000000,207.750000,197.448547,23695667
2020-12-24,210.000000,210.649994,205.600006,208.600006,198.256409,22768284
2020-12-28,209.000000,210.199997,207.850006,209.500000,199.111771,15741000
2020-12-29,210.500000,213.500000,210.100006,211.550003,201.060120,26546469
2020-12-30,212.699997,213.500000,209.550003,211.149994,200.679947,18925262
2020-12-31,210.550003,211.300003,208.550003,209.000000,198.636566,18245270
2021-01-01,209.899994,214.199997,209.300003,213.850006,203.246078,19527333
2021-01-04,214.000000,216.000000,212.100006,213.399994,202.818390,26891799
2021-01-05,212.449997,213.250000,210.600006,211.449997,200.965088,18024083
2021-01-06,211.449997,211.500000,204.500000,205.399994,195.215073,49067837
2021-01-07,206.100006,207.600006,202.100006,202.800003,192.744003,34952401
2021-01-08,204.350006,206.000000,200.250000,201.500000,191.508469,56427360
2021-01-11,204.000000,206.100006,201.250000,202.500000,192.458862,42970983
2021-01-12,203.000000,206.899994,201.600006,206.449997,196.213013,35617404
2021-01-13,207.449997,213.000000,205.250000,211.250000,200.774994,63925996
2021-01-14,212.000000,216.500000,211.600006,214.149994,203.531204,48304263
2021-01-15,214.899994,218.500000,211.199997,217.850006,207.047729,58321158
2021-01-18,218.399994,222.000000,214.600006,219.750000,208.853516,67607822
2021-01-19,221.000000,221.699997,217.500000,218.850006,207.998154,31785089
