Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,508.100006,514.400024,498.750000,506.950012,505.469971,20419020
2020-12-11,509.250000,516.900024,506.100006,515.450012,513.945129,25335765
2020-12-14,518.099976,527.799988,518.099976,525.799988,524.264893,26369591
2020-12-15,524.000000,524.250000,513.099976,518.049988,516.537537,26969145
2020-12-16,520.049988,521.700012,511.100006,512.450012,510.953918,24263586
2020-12-17,514.000000,516.500000,509.100006,510.399994,508.909882,23883288
2020-12-18,514.000000,518.250000,509.149994,517.150024,515.640198,21735833
2020-12-21,514.599976,514.700012,488.200012,494.500000,493.056305,29157759
2020-12-22,497.299988,501.799988,489.100006,500.299988,498.839355,32328041
2020-12-23,499.000000,505.500000,496.549988,503.600006,502.129761,19205951
2020-12-24,506.750000,515.950012,505.100006,513.549988,512.050659,17576807
2020-12-28,515.900024,521.200012,513.599976,520.099976,518.581543,14470472
2020-12-29,522.549988,530.799988,517.849976,528.799988,527.256165,19092649
2020-12-30,531.650024,533.000000,524.549988,528.750000,527.206299,21365141
2020-12-31,530.099976,538.500000,526.500000,535.049988,533.487915,27817770
2021-01-01,535.549988,537.000000,526.099976,527.500000,525.959961,13592625
2021-01-04,532.299988,535.000000,524.299988,531.700012,530.147705,16549750
2021-01-05,526.650024,539.950012,523.000000,537.250000,535.681519,23311516
2021-01-06,538.750000,550.599976,535.849976,546.700012,545.103943,28178838
2021-01-07,552.150024,554.400024,539.750000,541.099976,539.520264,21138034
2021-01-08,547.000000,547.099976,536.349976,542.049988,540.467468,21937965
2021-01-11,545.150024,546.000000,535.000000,544.700012,543.109741,19394393
2021-01-12,541.000000,550.650024,537.099976,548.000000,546.400146,16388310
2021-01-13,551.500000,561.000000,548.250000,556.500000,554.875305,21920297
2021-01-14,554.049988,558.450012,550.599976,553.299988,551.684631,13330898
2021-01-15,550.000000,551.000000,541.500000,543.000000,541.414734,15708956
2021-01-18,544.500000,548.400024,528.900024,533.150024,531.593506,21580313
2021-01-19,539.000000,547.750000,533.900024,546.450012,544.854675,20575358
2021-01-20,546.450012,554.599976,546.000000,551.000000,549.391357,16097138
2021-01-21,555.000000,561.000000,549.700012,552.700012,551.086426,18189277
2021-01-22,553.099976,553.500000,530.599976,533.799988,532.241577,24515997
2021-01-25,536.549988,542.299988,531.200012,538.049988,536.479126,23415249
2021-01-27,537.799988,539.200012,519.099976,522.349976,520.824951,28049286
2021-01-28,514.599976,529.849976,512.000000,528.250000,526.707764,29836591
2021-01-29,533.349976,544.950012,529.450012,537.000000,535.432251,33172808
2021-02-01,552.000000,609.450012,551.000000,603.799988,602.037170,69354326
2021-02-02,613.000000,624.000000,598.700012,617.349976,615.547607,42362384
2021-02-03,623.400024,627.500000,614.000000,622.349976,620.533020,27155908
2021-02-04,618.799988,631.650024,609.000000,628.299988,626.465698,29982222
2021-02-05,628.299988,635.299988,611.000000,614.150024,612.356995,32015570
2021-02-08,622.349976,633.950012,622.349976,629.599976,627.761841,18230551
2021-02-09,631.349976,643.200012,628.599976,633.349976,631.500916,27155615
2021-02-10,633.349976,638.200012,626.400024,632.150024,630.304443,23967387
2021-02-11,626.750000,633.599976,624.099976,630.650024,628.808838,16072702
2021-02-12,629.900024,649.900024,629.400024,647.599976,645.709290,19049709
2021-02-15,655.000000,676.799988,652.000000,673.950012,671.982422,27155194
2021-02-16,673.400024,679.400024,649.549988,658.349976,656.427917,24966739
