Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,356.200012,358.000000,352.750000,355.899994,355.101654,6897397
2020-12-11,357.399994,360.000000,352.649994,353.500000,352.707031,5863616
2020-12-14,353.500000,354.549988,347.100006,349.350006,348.566345,11501839
2020-12-15,349.299988,353.899994,347.500000,352.700012,351.908844,7231781
2020-12-16,353.899994,358.950012,353.200012,358.399994,357.596039,6666272
2020-12-17,358.399994,359.250000,355.500000,356.899994,356.099396,4165371
2020-12-18,358.950012,365.799988,357.500000,363.549988,362.734497,17398081
2020-12-21,362.500000,367.450012,348.350006,353.950012,353.156036,9665063
2020-12-22,354.000000,365.700012,349.450012,364.200012,363.383057,8186039
2020-12-23,374.000000,387.600006,371.700012,385.549988,384.685150,44874433
2020-12-24,386.450012,386.700012,378.649994,382.200012,381.342682,12240172
2020-12-28,383.450012,386.399994,382.000000,382.899994,382.041077,4725879
2020-12-29,384.000000,390.500000,383.100006,385.000000,384.136383,11459126
2020-12-30,385.000000,386.600006,382.799988,384.399994,383.537720,7188435
2020-12-31,381.200012,387.600006,381.200012,386.250000,385.383575,6394605
2021-01-01,385.049988,390.750000,385.049988,388.100006,387.229431,5042336
2021-01-04,390.000000,397.950012,387.799988,396.399994,395.510803,9755721
2021-01-05,394.100006,409.799988,393.500000,406.299988,405.388580,25156747
2021-01-06,405.000000,417.399994,403.299988,406.399994,405.488373,22486300
2021-01-07,412.250000,413.000000,403.850006,406.750000,405.837585,12344755
2021-01-08,407.500000,432.649994,407.250000,430.200012,429.235016,40993230
2021-01-11,436.000000,451.000000,435.000000,446.799988,445.797729,47334018
2021-01-12,447.950012,460.750000,442.399994,457.700012,456.673309,22134465
2021-01-13,461.000000,467.450012,452.799988,459.000000,457.970398,29190193
2021-01-14,452.000000,466.000000,430.000000,454.350006,453.330811,71551807
2021-01-15,454.750000,459.399994,436.600006,438.549988,437.566254,25307779
2021-01-18,441.000000,445.000000,429.100006,431.549988,430.581940,21510587
2021-01-19,433.000000,439.549988,427.700012,430.250000,429.284882,15677790
2021-01-20,434.000000,447.850006,433.000000,444.950012,443.951904,24419679
2021-01-21,451.600006,453.450012,442.299988,445.799988,444.799988,15911377
2021-01-22,447.450012,452.000000,440.450012,444.750000,444.750000,11398812
2021-01-25,445.149994,451.000000,435.149994,437.250000,437.250000,7380169
2021-01-27,438.000000,454.750000,437.250000,446.450012,446.450012,29590210
2021-01-28,443.250000,448.600006,427.299988,431.899994,431.899994,14812435
2021-01-29,437.399994,437.700012,415.549988,417.899994,417.899994,15632421
2021-02-01,416.100006,423.799988,408.200012,421.500000,421.500000,15081852
2021-02-02,428.000000,435.549988,423.649994,428.350006,428.350006,13310498
2021-02-03,430.200012,439.950012,430.200012,433.500000,433.500000,9897666
2021-02-04,433.500000,436.899994,428.250000,429.899994,429.899994,7193299
2021-02-05,432.000000,433.399994,420.549988,425.549988,425.549988,8679026
2021-02-08,430.350006,437.700012,426.299988,435.299988,435.299988,12516340
2021-02-09,440.250000,451.750000,435.200012,439.350006,439.350006,29474830
2021-02-10,442.000000,444.149994,435.000000,439.000000,439.000000,10607735
2021-02-11,439.000000,440.500000,433.399994,437.000000,437.000000,9237026
2021-02-12,440.000000,449.200012,439.600006,442.000000,442.000000,19280834
2021-02-15,444.600006,444.899994,436.799988,439.700012,439.700012,7844877
2021-02-16,446.000000,447.799988,433.799988,437.549988,437.549988,12453798
2021-02-17,435.899994,439.000000,428.500000,430.200012,430.200012,7390192
2021-02-18,430.299988,436.649994,429.350006,432.950012,432.950012,8385736
2021-02-19,433.149994,435.750000,426.100006,429.950012,429.950012,8478666
2021-02-22,430.700012,432.850006,416.000000,418.700012,418.700012,10666087
2021-02-23,419.700012,426.000000,414.299988,415.500000,415.500000,8992353
2021-02-24,417.700012,425.799988,414.750000,423.100006,423.100006,5060297
2021-02-25,423.100006,429.000000,420.450012,421.299988,421.299988,9110392
2021-02-26,417.950012,419.850006,408.000000,410.299988,410.299988,11731941
2021-03-01,411.000000,418.700012,409.200012,414.399994,414.399994,6421696
2021-03-02,419.700012,433.100006,418.250000,430.399994,430.399994,14875234
2021-03-03,433.000000,436.649994,428.250000,435.500000,435.500000,8782452
2021-03-04,428.899994,444.299988,427.500000,438.799988,438.799988,12963797
2021-03-05,440.000000,440.000000,417.000000,420.850006,420.850006,43931172
2021-03-08,425.100006,425.149994,415.549988,416.899994,416.899994,12354838
2021-03-09,419.799988,422.799988,410.049988,419.200012,419.200012,11905629
2021-03-10,426.100006,430.700012,423.000000,426.700012,426.700012,17291368
2021-03-12,431.500000,432.799988,422.100006,425.200012,425.200012,8960126
2021-03-15,424.799988,428.600006,417.799988,426.350006,426.350006,7517102
2021-03-16,427.250000,434.950012,425.649994,429.299988,429.299988,10673647
2021-03-17,429.000000,435.500000,417.700012,419.649994,419.649994,12134812
2021-03-18,423.250000,424.149994,404.299988,410.149994,410.149994,10082931
2021-03-19,408.950012,413.649994,399.450012,410.500000,410.500000,16875402
2021-03-22,411.049988,416.250000,410.200012,414.450012,414.450012,6622984
2021-03-23,417.700012,423.399994,412.700012,415.500000,415.500000,11575194
