Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,3298.000000,3298.000000,3251.550049,3262.750000,3249.410156,1304985
2021-06-16,3262.100098,3294.699951,3253.000000,3274.350098,3260.962891,1635552
2021-06-17,3265.500000,3336.050049,3260.000000,3317.750000,3304.185303,2273413
2021-06-18,3350.899902,3358.000000,3275.000000,3297.300049,3283.819092,3380431
2021-06-21,3265.000000,3286.000000,3251.699951,3273.100098,3259.718018,1130569
2021-06-22,3304.000000,3327.050049,3285.000000,3301.199951,3287.702881,1708688
2021-06-23,3329.000000,3329.000000,3256.399902,3261.399902,3248.065674,1467104
2021-06-24,3284.000000,3383.000000,3278.500000,3373.600098,3359.806885,4155204
2021-06-25,3375.250000,3399.649902,3350.000000,3380.800049,3366.977539,2722861
2021-06-28,3391.500000,3391.500000,3333.000000,3336.750000,3323.107666,1355238
2021-06-29,3342.000000,3366.300049,3326.500000,3340.850098,3327.191162,1497322
2021-06-30,3346.000000,3382.000000,3338.500000,3345.750000,3332.070801,1693146
2021-07-01,3358.000000,3362.000000,3332.350098,3341.500000,3327.838379,990310
2021-07-02,3331.000000,3339.699951,3295.199951,3325.449951,3311.853760,1682274
2021-07-05,3342.000000,3374.000000,3302.000000,3321.000000,3307.422119,1972858
2021-07-06,3313.000000,3328.000000,3256.100098,3262.300049,3248.961914,2159420
2021-07-07,3275.000000,3282.699951,3241.600098,3274.949951,3261.560059,2640710
2021-07-08,3298.000000,3298.000000,3231.899902,3258.500000,3245.177490,2485811
2021-07-09,3250.000000,3282.000000,3201.000000,3208.149902,3195.033203,6365067
2021-07-12,3235.000000,3236.000000,3188.350098,3193.100098,3180.044922,1892226
2021-07-13,3214.000000,3214.000000,3175.000000,3187.550049,3174.517822,1809339
2021-07-14,3187.000000,3222.000000,3185.000000,3214.550049,3201.407227,2044279
2021-07-15,3227.600098,3231.850098,3194.000000,3202.949951,3196.815918,2232968
2021-07-16,3213.000000,3219.850098,3192.000000,3194.800049,3188.681641,1256526
2021-07-19,3180.000000,3199.800049,3176.000000,3184.600098,3178.501221,1597058
2021-07-20,3184.600098,3215.000000,3156.149902,3205.800049,3199.660645,1811945
2021-07-22,3190.000000,3224.949951,3190.000000,3216.350098,3210.190430,2859334
2021-07-23,3230.000000,3241.550049,3206.649902,3212.850098,3206.697266,1776193
2021-07-26,3200.000000,3224.250000,3190.850098,3197.550049,3191.426514,1259611
2021-07-27,3200.000000,3210.000000,3161.149902,3182.949951,3176.854248,1121367
2021-07-28,3188.000000,3204.449951,3132.399902,3197.800049,3191.676025,1660654
2021-07-29,3200.250000,3225.449951,3190.300049,3195.800049,3189.679688,1731997
2021-07-30,3219.000000,3223.500000,3162.350098,3167.449951,3161.384033,2999943
2021-08-02,3180.000000,3224.899902,3167.000000,3219.399902,3213.234375,2608669
2021-08-03,3229.000000,3290.000000,3218.949951,3284.899902,3278.608887,3804735
2021-08-04,3300.000000,3305.199951,3261.199951,3273.949951,3267.679932,2929598
2021-08-05,3275.000000,3315.000000,3262.500000,3283.949951,3277.660889,2534521
2021-08-06,3272.550049,3324.000000,3265.000000,3309.800049,3303.461426,2292362
2021-08-09,3323.899902,3337.000000,3310.000000,3322.699951,3316.336670,1510489
2021-08-10,3315.600098,3349.899902,3315.600098,3333.899902,3327.515137,2040777
2021-08-11,3350.000000,3360.000000,3327.100098,3344.199951,3337.795410,1929707
2021-08-12,3326.000000,3368.000000,3326.000000,3351.750000,3345.331055,1310205
2021-08-13,3360.750000,3480.000000,3357.500000,3463.399902,3456.767090,4363584
2021-08-16,3460.000000,3494.350098,3436.500000,3472.949951,3466.298828,2083489
2021-08-17,3482.100098,3560.800049,3463.000000,3553.050049,3546.245605,4336019
2021-08-18,3573.850098,3595.000000,3536.600098,3560.550049,3553.731201,2631309
2021-08-20,3506.000000,3575.000000,3500.000000,3559.500000,3552.683105,2836148
2021-08-23,3580.000000,3673.000000,3561.899902,3637.399902,3630.433838,3744176
2021-08-24,3657.000000,3667.350098,3594.399902,3613.199951,3606.280273,2511141
2021-08-25,3610.000000,3697.750000,3607.050049,3659.000000,3651.992676,2123263
2021-08-26,3660.000000,3687.600098,3647.899902,3671.850098,3664.818115,1902533
2021-08-27,3666.000000,3729.500000,3651.100098,3720.149902,3713.025391,3944728
2021-08-30,3715.000000,3740.350098,3687.600098,3701.300049,3694.211670,2033114
2021-08-31,3709.399902,3804.100098,3703.449951,3786.449951,3779.198486,3207480
2021-09-01,3796.000000,3816.699951,3707.000000,3714.949951,3707.835449,2643336
2021-09-02,3734.000000,3859.149902,3722.000000,3836.750000,3829.402344,3403717
2021-09-03,3825.000000,3856.899902,3804.550049,3842.050049,3834.692139,1746812
2021-09-06,3849.699951,3877.600098,3814.000000,3852.000000,3844.623047,1723693
2021-09-07,3864.000000,3869.949951,3808.250000,3815.899902,3808.592041,1585039
2021-09-08,3810.000000,3815.000000,3756.000000,3774.149902,3766.922119,4147175
2021-09-09,3789.699951,3808.699951,3765.000000,3791.399902,3784.138916,1441148
2021-09-13,3767.000000,3852.399902,3767.000000,3845.350098,3837.985840,1691473
2021-09-14,3849.949951,3896.500000,3825.000000,3885.899902,3878.458008,1991188
2021-09-15,3882.100098,3980.000000,3866.000000,3954.550049,3946.976807,2461369
2021-09-16,3930.000000,3981.750000,3892.100098,3903.300049,3895.824951,2946666
2021-09-17,3920.000000,3945.000000,3805.000000,3827.850098,3820.519287,6477148
2021-09-20,3809.000000,3871.000000,3807.850098,3823.500000,3816.177734,2002008
2021-09-21,3858.000000,3871.550049,3821.649902,3862.949951,3855.552002,1568129
2021-09-22,3862.500000,3896.850098,3852.449951,3862.149902,3854.753418,1744067
2021-09-23,3870.000000,3879.000000,3835.000000,3869.250000,3861.840088,2003869
2021-09-24,3890.000000,3944.399902,3855.000000,3871.300049,3863.886230,2320754
2021-09-27,3900.000000,3904.000000,3802.899902,3836.949951,3829.601807,1673362
2021-09-28,3850.000000,3850.000000,3751.250000,3779.149902,3771.912354,2253075
2021-09-29,3759.800049,3806.000000,3722.149902,3791.899902,3784.637939,2489161
2021-09-30,3805.000000,3805.000000,3750.100098,3775.550049,3768.319580,2252412
2021-10-01,3781.750000,3810.000000,3725.000000,3730.199951,3723.056152,1578374
2021-10-04,3724.800049,3783.649902,3707.449951,3773.300049,3766.073730,1356860
2021-10-05,3754.000000,3840.000000,3741.600098,3833.300049,3825.958984,1877966
2021-10-06,3836.000000,3857.449951,3795.000000,3810.899902,3803.601563,1678154
2021-10-07,3830.000000,3899.000000,3820.050049,3892.899902,3885.444580,1647233
2021-10-08,3925.000000,3989.899902,3900.000000,3935.649902,3928.112793,2934339
2021-10-11,3755.000000,3757.500000,3660.000000,3685.600098,3678.541748,11845402
2021-10-12,3706.000000,3707.000000,3630.600098,3652.850098,3645.854492,5752877
2021-10-13,3650.000000,3675.449951,3645.000000,3655.199951,3648.199951,3545655
2021-10-14,3625.000000,3670.000000,3608.199951,3611.449951,3611.449951,6442299
2021-10-18,3603.449951,3652.699951,3601.449951,3647.149902,3647.149902,3590107
2021-10-19,3669.000000,3690.100098,3625.199951,3634.149902,3634.149902,3135441
2021-10-20,3612.000000,3630.000000,3578.300049,3608.850098,3608.850098,2933693
2021-10-21,3604.100098,3607.449951,3511.250000,3532.500000,3532.500000,4871211
2021-10-22,3560.000000,3561.600098,3485.000000,3498.850098,3498.850098,2691670
2021-10-25,3503.000000,3514.550049,3450.000000,3492.949951,3492.949951,2595594
2021-10-26,3494.500000,3529.000000,3475.000000,3482.600098,3482.600098,3878763
2021-10-27,3483.000000,3511.250000,3483.000000,3489.750000,3489.750000,2510813
2021-10-28,3518.000000,3518.000000,3415.000000,3421.649902,3421.649902,2424942
2021-10-29,3400.050049,3461.000000,3385.949951,3397.750000,3397.750000,3960501
2021-11-01,3437.949951,3487.000000,3412.949951,3476.399902,3476.399902,2020718
2021-11-02,3494.000000,3513.600098,3469.750000,3484.199951,3484.199951,3087414
2021-11-03,3504.199951,3519.899902,3466.050049,3492.250000,3492.250000,1537639
2021-11-04,3512.949951,3513.250000,3505.000000,3508.649902,3508.649902,328991
2021-11-08,3548.000000,3548.000000,3481.199951,3502.750000,3502.750000,2526082
2021-11-09,3508.000000,3535.000000,3496.000000,3505.699951,3505.699951,1782692
2021-11-10,3498.000000,3519.699951,3480.199951,3484.300049,3484.300049,1516489
2021-11-11,3480.000000,3510.050049,3436.000000,3488.199951,3488.199951,1284514
2021-11-12,3506.000000,3534.149902,3485.699951,3526.050049,3526.050049,1747259
2021-11-15,3528.000000,3569.600098,3528.000000,3553.300049,3553.300049,1809157
2021-11-16,3569.000000,3575.550049,3542.000000,3556.399902,3556.399902,2013204
2021-11-17,3550.600098,3562.850098,3506.399902,3521.899902,3521.899902,1632914
2021-11-18,3515.149902,3520.850098,3451.600098,3475.699951,3475.699951,2136598
2021-11-22,3478.399902,3515.949951,3440.300049,3458.399902,3458.399902,3167936
2021-11-23,3445.000000,3480.949951,3407.800049,3464.250000,3464.250000,2153461
2021-11-24,3472.199951,3493.050049,3424.000000,3443.300049,3443.300049,2161746
2021-11-25,3443.899902,3463.000000,3434.050049,3445.899902,3445.899902,1849619
2021-11-26,3425.000000,3490.000000,3411.899902,3446.850098,3446.850098,1941251
2021-11-29,3447.149902,3529.350098,3406.449951,3502.000000,3502.000000,2981745
2021-11-30,3491.000000,3563.750000,3491.000000,3529.149902,3529.149902,5588446
2021-12-01,3535.000000,3590.000000,3535.000000,3577.800049,3577.800049,2102118
2021-12-02,3589.199951,3648.000000,3574.100098,3642.899902,3642.899902,3152938
2021-12-03,3646.449951,3665.949951,3630.850098,3640.449951,3640.449951,2486263
2021-12-06,3640.449951,3658.000000,3522.000000,3536.399902,3536.399902,1849642
2021-12-07,3562.500000,3598.000000,3524.300049,3584.500000,3584.500000,1484458
2021-12-08,3601.000000,3646.449951,3601.000000,3626.899902,3626.899902,1428660
2021-12-09,3610.000000,3634.750000,3566.000000,3601.750000,3601.750000,1567957
2021-12-10,3585.000000,3632.750000,3575.100098,3625.199951,3625.199951,1151822
